Source Course	Target Course
SI 548	CHIN 588
SI 548	SI 630
SI 548	ELI 420
SI 548	CHIN 610
SI 548	ASIAN 625
SI 548	ASIANLAN 126
SI 548	HISTART 461
SI 548	ASIANLAN 407
SI 548	ASIAN 535
SI 548	ASIAN 536
SI 548	ASIANLAN 125
SI 548	CHIN 799
SI 548	SURVMETH 630
SI 548	MO 561
SI 548	ASIAN 500
SI 548	ELI 330
SI 548	ASIAN 699
SI 549	SI 638
SI 549	SI 624
SI 549	ENGLISH 240
SI 549	HISTORY 467
SI 549	PSYCH 270
SI 549	ENGLISH 371
SI 549	ENGLISH 370
SI 549	EDUC 605
SI 549	SWC 300
SI 549	SI 620
SI 549	SI 666
SI 549	SI 643
SI 551	SI 622
SI 551	MO 603
SI 551	SI 681
SI 551	SI 724
SI 553	ES 581
SI 553	PSYCH 111
SI 553	FIN 647
SI 553	EDUC 662
SI 553	HISTORY 395
SI 553	POLSCI 499
SI 553	SAC 602
SI 553	ANTHRCUL 502
SI 553	LHC 524
SI 553	EECS 498
SI 553	FIN 622
SI 553	MCDB 427
SI 553	HISTORY 591
SI 553	BIOINF 526
SI 553	BIOINF 527
SI 553	EDUC 609
SI 553	ANTHRCUL 553
SI 553	HISTORY 329
SI 553	CSIB 645
SI 557	SI 682
SI 557	SI 622
SI 557	SI 688
SI 557	BIT 551
SI 563	ACC 315
SI 563	ACC 312
SI 563	SI 630
SI 563	ES 623
SI 563	FIN 629
SI 563	ACC 272
SI 563	BIT 601
SI 563	SI 683
SI 563	SI 676
SI 563	ACC 630
SI 563	ES 715
SI 563	SI 680
SI 563	SI 689
SI 572	SI 678
SI 572	NRE 540
SI 572	UP 507
SI 575	SI 681
SI 575	SI 622
SI 575	SI 682
SI 579	SI 647
SI 579	SI 643
SI 579	SI 666
SI 579	SI 665
SI 579	SI 681
SI 579	SI 629
SI 579	SI 581
SI 579	SI 580
SI 579	SI 620
SI 579	SI 633
SI 579	SI 655
SI 579	SI 690
SI 579	PUBPOL 585
SI 580	SI 633
SI 580	SI 666
SI 580	SI 681
SI 580	SI 665
SI 580	SI 596
SI 580	SI 690
SI 580	SI 643
SI 580	SI 620
SI 580	MHS 663
SI 580	SI 615
SI 580	HISTORY 698
SI 580	SI 644
SI 580	SI 639
SI 581	SI 666
SI 581	SI 647
SI 581	SI 637
SI 581	SI 633
SI 581	SI 681
SI 581	SI 665
SI 581	SI 690
SI 581	SI 596
SI 581	SI 678
SI 581	SI 644
SI 581	SI 620
SI 581	SI 639
SI 581	SI 643
SI 581	MHS 663
SI 583	SI 683
SI 583	ECON 500
SI 583	SI 687
SI 583	SI 708
SI 583	SI 652
SI 583	STRATEGY 574
SI 583	STRATEGY 675
SI 583	SI 646
SI 583	SI 680
SI 583	SI 676
SI 583	SI 689
SI 583	STRATEGY 673
SI 583	SI 625
SI 593	SI 792
SI 593	ENGLISH 528
SI 593	PSYCH 418
SI 593	CSIB 574
SI 593	CIS 512
SI 593	CIS 513
SI 593	KINESLGY 684
SI 593	PUBPOL 679
SI 593	EDUC 462
SI 593	SI 668
SI 596	SI 647
SI 596	SI 665
SI 596	SI 643
SI 596	SI 666
SI 596	SI 620
SI 596	SI 696
SI 596	SI 624
SI 596	MHS 663
SI 596	SI 623
SI 599	ACC 315
SI 599	ACC 312
SI 599	ES 581
SI 599	FIN 647
SI 599	BA 615
SI 599	LHC 524
SI 599	FIN 622
SI 599	ACC 272
SI 599	BIT 601
SI 599	MHS 662
SI 599	BE 550
SI 599	ACC 630
SI 599	FIN 621
SI 599	ACC 564
SI 599	SI 680
SI 599	BIT 512
SI 599	OMS 501
SI 601	SI 682
SI 601	SI 689
SI 601	SI 622
SI 601	SI 688
SI 605	PSYCH 418
SI 605	CSIB 574
SI 605	PUBPOL 585
SI 605	NRE 512
SI 605	ITALIAN 361
SI 605	CIS 512
SI 605	CIS 513
SI 605	SOC 530
SI 605	PUBPOL 770
SI 605	PUBPOL 679
SI 605	EDUC 462
SI 605	ARCH 613
SI 605	SOC 711
SI 614	CMPLXSYS 501
SI 614	SI 767
SI 614	SI 650
SI 614	IOE 552
SI 614	SI 888
SI 614	EECS 594
SI 614	IOE 623
SI 615	SI 647
SI 615	SI 629
SI 615	SI 665
SI 615	SI 692
SI 615	SI 637
SI 615	SI 675
SI 615	SI 633
SI 615	SI 626
SI 616	EDUC 650
SI 616	EDUC 606
SI 616	EDUC 402
SI 616	EDUC 649
SI 616	SI 643
SI 616	SI 620
SI 616	SI 666
SI 616	SI 641
SI 616	SI 647
SI 616	SI 792
SI 617	SI 627
SI 617	SWC 993
SI 617	SI 668
SI 617	SI 646
SI 617	BE 501
SI 617	ASIANLAN 430
SI 617	SI 650
SI 617	SI 628
SI 617	CSIB 676
SI 617	PUBPOL 759
SI 617	EECS 588
SI 617	PUBPOL 667
SI 617	ASIANLAN 429
SI 617	IOE 552
SI 617	CSIB 502
SI 617	MATH 423
SI 617	LHC 582
SI 617	ASIANLAN 499
SI 617	MHS 665
SI 617	SOC 711
SI 617	IOE 623
SI 617	SI 621
SI 617	MKT 501
SI 618	STRATEGY 673
SI 618	POLSCI 662
SI 618	SI 635
SI 618	CAAS 629
SI 618	MKT 625
SI 618	DESCI 501
SI 618	SI 683
SI 618	SI 689
SI 618	SI 708
SI 620	SI 665
SI 620	MHS 663
SI 620	EDUC 606
SI 620	EDCURINS 575
SI 620	EDUC 402
SI 620	EDUC 650
SI 620	EDUC 649
SI 620	SI 681
SI 620	SI 623
SI 620	SI 633
SI 621	SI 681
SI 621	SI 668
SI 622	SI 681
SI 622	SI 658
SI 622	SI 649
SI 622	IOE 536
SI 622	SI 690
SI 622	ARCH 531
SI 622	SI 654
SI 622	SI 670
SI 622	RACKHAM 998
SI 623	SI 665
SI 623	SI 647
SI 623	SI 666
SI 623	SI 681
SI 623	PUBPOL 636
SI 623	SI 724
SI 623	SI 626
SI 624	EDUC 650
SI 624	SI 666
SI 624	EDUC 606
SI 624	EDUC 402
SI 624	EDUC 649
SI 624	SI 638
SI 624	SI 665
SI 625	SI 679
SI 625	SI 663
SI 625	SI 652
SI 625	ELI 320
SI 625	SI 676
SI 625	SI 680
SI 625	ECON 500
SI 625	SI 681
SI 625	SI 668
SI 625	BIT 646
SI 626	SI 665
SI 626	SI 647
SI 626	SI 666
SI 627	SI 550
SI 627	OMS 620
SI 627	SI 646
SI 627	ASIANLAN 430
SI 627	SI 650
SI 627	STRATEGY 514
SI 627	CSIB 676
SI 627	CSIB 574
SI 627	PUBPOL 759
SI 627	IOE 437
SI 627	PUBPOL 667
SI 627	ASIANLAN 429
SI 627	IOE 552
SI 627	CIS 512
SI 627	CIS 513
SI 627	ES 623
SI 627	FIN 629
SI 627	CSIB 502
SI 627	MATH 423
SI 627	PUBPOL 679
SI 627	HISTART 613
SI 627	ASIANLAN 499
SI 627	MO 615
SI 627	IOE 623
SI 627	SI 663
SI 627	BIT 551
SI 629	SI 647
SI 629	SI 633
SI 629	SI 681
SI 629	SI 666
SI 629	SI 690
SI 629	HISTORY 698
SI 629	SI 639
SI 629	SI 665
SI 631	RCIDIV 351
SI 631	NRE 512
SI 631	SI 635
SI 631	CSIB 645
SI 631	SI 682
SI 632	SI 633
SI 632	SI 639
SI 632	SI 681
SI 632	SI 647
SI 632	SI 678
SI 632	HISTORY 698
SI 632	SI 690
SI 632	SI 675
SI 632	SI 666
SI 633	SI 647
SI 633	SI 665
SI 633	SI 692
SI 633	SI 637
SI 633	SI 643
SI 633	SI 666
SI 637	HISTORY 698
SI 637	SI 655
SI 638	EDUC 649
SI 638	ENGLISH 240
SI 638	ENGLISH 371
SI 638	ENGLISH 370
SI 638	SWC 300
SI 638	EDUC 650
SI 638	EDUC 606
SI 638	EDCURINS 575
SI 638	EDUC 402
SI 638	HBEHED 600
SI 639	SI 675
SI 639	SI 655
SI 639	HISTORY 672
SI 639	HISTORY 600
SI 639	SAC 455
SI 639	ARTDES 711
SI 639	ARTDES 710
SI 639	ARTDES 610
SI 639	ANTHRCUL 558
SI 639	SI 692
SI 641	EDUC 744
SI 641	EDUC 740
SI 641	EDUC 849
SI 641	SOC 535
SI 641	PUBPOL 750
SI 641	ADMIN 761
SI 641	PSYCH 561
SI 641	STATS 407
SI 641	EDUC 755
SI 641	EDUC 754
SI 641	EDUC 752
SI 641	UMOVE 101
SI 641	EDUC 604
SI 641	EDUC 641
SI 641	ARCH 613
SI 641	UMOVE 136
SI 641	EDUC 859
SI 641	EDUC 794
SI 641	UMOVE 100
SI 641	EDUC 737
SI 643	SI 665
SI 643	MHS 663
SI 643	EDUC 606
SI 643	EDCURINS 575
SI 643	EDUC 402
SI 643	EDUC 650
SI 643	EDUC 649
SI 643	SI 696
SI 643	SI 681
SI 644	MUSMETH 406
SI 644	SI 724
SI 644	SI 675
SI 644	SI 681
SI 645	ENGLISH 549
SI 645	PUBPOL 587
SI 645	PUBPOL 580
SI 645	PUBPOL 578
SI 645	ENGLISH 503
SI 645	PUBPOL 513
SI 645	PUBPOL 686
SI 645	MKT 614
SI 645	PUBPOL 735
SI 646	SI 652
SI 646	SI 679
SI 646	SI 680
SI 646	SI 668
SI 646	SI 676
SI 646	SI 687
SI 646	SI 663
SI 646	SI 683
SI 646	ECON 500
SI 646	SI 681
SI 646	BE 550
SI 646	STRATEGY 574
SI 646	STRATEGY 675
SI 646	OMS 620
SI 647	SI 681
SI 647	SI 690
SI 647	MHS 663
SI 647	SI 692
SI 647	EDUC 606
SI 647	EDCURINS 575
SI 647	EDUC 402
SI 647	EDUC 650
SI 647	NRE 531
SI 648	HISTORY 641
SI 648	HISTART 613
SI 648	UP 696
SI 648	CSIB 645
SI 649	SI 682
SI 649	SI 688
SI 649	SI 689
SI 649	SI 658
SI 649	ARCH 531
SI 649	DESCI 502
SI 649	IOE 536
SI 649	SI 681
SI 652	SI 663
SI 652	SI 679
SI 652	SI 687
SI 652	SI 680
SI 652	STRATEGY 675
SI 652	SI 683
SI 652	ECON 500
SI 652	ELI 320
SI 654	SI 682
SI 654	SI 653
SI 654	BA 523
SI 655	SI 681
SI 658	SI 682
SI 658	SI 688
SI 658	SI 681
SI 658	SI 689
SI 658	IOE 536
SI 658	SI 690
SI 658	ARCH 531
SI 663	SI 679
SI 663	SI 687
SI 663	SI 686
SI 663	SI 680
SI 663	SI 676
SI 663	ELI 321
SI 663	SI 767
SI 663	SI 702
SI 665	MHS 663
SI 665	SI 681
SI 665	SI 690
SI 665	NRE 531
SI 666	SI 681
SI 666	SI 690
SI 666	EDUC 606
SI 666	EDCURINS 575
SI 666	EDUC 402
SI 666	MHS 663
SI 666	EDUC 650
SI 666	SI 692
SI 666	EDUC 649
SI 668	BIT 581
SI 668	BE 501
SI 668	ENGLISH 528
SI 668	SI 628
SI 668	RUSSIAN 521
SI 668	PSYCH 418
SI 668	BIT 645
SI 668	EECS 588
SI 668	EECS 498
SI 668	KINESLGY 684
SI 668	MCDB 427
SI 668	HMP 617
SI 668	BIOINF 526
SI 668	BIOINF 527
SI 668	SI 732
SI 668	LHC 582
SI 668	EDUC 462
SI 668	MHS 665
SI 670	ASIANLAN 430
SI 670	OM 587
SI 670	IOE 425
SI 670	CSIB 676
SI 670	CSIB 574
SI 670	PUBPOL 759
SI 670	UP 406
SI 670	OM 612
SI 670	NRE 512
SI 670	ECON 600
SI 670	ASIANLAN 429
SI 670	OM 625
SI 670	CIS 512
SI 670	CIS 513
SI 670	CSIB 502
SI 670	IOE 421
SI 670	MATH 423
SI 670	ANTHRCUL 458
SI 670	PUBPOL 679
SI 670	ANTHRCUL 558
SI 670	OB 562
SI 670	ASIANLAN 499
SI 670	IOE 563
SI 670	LING 441
SI 670	IOE 522
SI 670	BIT 545
SI 675	HISTORY 672
SI 675	HISTORY 600
SI 675	SAC 455
SI 675	SI 635
SI 675	ARTDES 711
SI 675	ARTDES 710
SI 675	ARTDES 610
SI 675	ARTDES 611
SI 675	HISTORY 796
SI 675	MUSMETH 406
SI 675	AMCULT 993
SI 675	SI 678
SI 676	ECON 500
SI 676	SI 687
SI 676	SI 679
SI 676	SI 562
SI 676	SI 683
SI 676	SI 699
SI 678	SI 737
SI 678	HISTORY 600
SI 678	SAC 455
SI 678	HISTORY 641
SI 678	ARTDES 711
SI 678	ARTDES 710
SI 678	ARTDES 610
SI 678	ENGLISH 503
SI 678	SAC 441
SI 678	MO 622
SI 678	MSP 601
SI 678	MSP 602
SI 679	ECON 500
SI 679	SI 683
SI 679	STRATEGY 574
SI 679	SI 680
SI 679	SI 689
SI 680	SI 687
SI 680	ACC 315
SI 680	ACC 312
SI 680	BA 615
SI 680	EECS 695
SI 680	EECS 381
SI 680	HMP 669
SI 680	COMM 698
SI 680	COMM 799
SI 680	ELI 334
SI 680	PUBPOL 515
SI 680	ECON 405
SI 680	DUTCH 511
SI 680	ACC 272
SI 680	MKT 625
SI 680	BIT 601
SI 680	SI 562
SI 680	SI 686
SI 680	SI 683
SI 681	SI 682
SI 681	SI 688
SI 681	SI 689
SI 681	SI 690
SI 681	SI 692
SI 681	ARCH 531
SI 682	ARCH 531
SI 682	IOE 536
SI 682	SI 690
SI 682	SI 684
SI 682	RACKHAM 998
SI 682	DESCI 502
SI 683	SI 562
SI 683	STRATEGY 675
SI 683	SI 708
SI 683	SI 689
SI 683	STRATEGY 673
SI 683	NRE 605
SI 683	ACC 315
SI 683	ACC 312
SI 683	STRATEGY 514
SI 683	ARCH 551
SI 683	ES 623
SI 683	FIN 629
SI 683	HMP 617
SI 683	PAT 542
SI 683	ACC 272
SI 683	MKT 625
SI 683	BIT 601
SI 684	ARCH 531
SI 684	SI 708
SI 684	COMM 993
SI 686	ELI 320
SI 686	NRE 605
SI 686	EECS 695
SI 686	ECON 600
SI 686	COMM 698
SI 686	COMM 799
SI 686	ELI 334
SI 686	ELI 337
SI 686	ECON 405
SI 686	DUTCH 511
SI 686	LING 441
SI 686	ECON 434
SI 686	BIT 646
SI 686	ELI 321
SI 687	ECON 500
SI 687	ELI 320
SI 687	NRE 605
SI 687	EECS 695
SI 687	EECS 381
SI 687	ECON 600
SI 687	MKT 601
SI 687	MKT 603
SI 687	MKT 608
SI 687	COMM 698
SI 687	ES 623
SI 687	FIN 629
SI 687	COMM 799
SI 687	ELI 334
SI 687	ELI 337
SI 687	ELI 336
SI 687	PUBPOL 515
SI 687	ECON 405
SI 687	FIN 615
SI 687	DUTCH 511
SI 687	LING 441
SI 687	ECON 434
SI 687	BIT 646
SI 688	IOE 536
SI 688	SI 690
SI 688	ARCH 531
SI 688	DESCI 502
SI 689	ARCH 531
SI 689	IOE 536
SI 689	DESCI 502
SI 689	SI 702
SI 690	SI 692
SI 692	HISTORY 698
SI 696	HISTORY 451
SI 696	SURVMETH 600
SI 696	SI 745
SI 696	HISTORY 536
SI 696	SI 860
SI 696	SURVMETH 632
SI 701	STATS 500
SI 701	PSYCH 613
SI 701	SURVMETH 600
SI 701	SI 745
SI 701	ECON 600
SI 701	BIOINF 551
SI 701	SI 860
SI 701	SI 761
SI 701	LING 441
SI 701	EECS 692
SI 701	ELI 332
SI 701	SOC 510
SI 701	SURVMETH 632
SI 701	ELI 321
SI 702	SI 840
SI 702	BIT 750
SI 702	SI 724
SI 708	STRATEGY 673
SI 708	BIOINF 551
SI 708	ARCH 551
SI 708	EDUC 609
SI 708	PAT 542
SI 708	SI 761
SI 708	MKT 625
SI 708	EECS 692
SI 708	ELI 332
SI 708	PUBPOL 650
SI 708	STATS 503
SI 708	EECS 584
SI 708	STRATEGY 675
SI 708	STATS 500
SI 708	PUBPOL 636
SI 708	SI 760
SI 708	AMCULT 993
SI 708	SI 840
SI 708	RACKHAM 998
SI 791	SI 792
SI 791	AMCULT 993
SI 840	STATS 500
SI 840	PSYCH 613
SI 840	SURVMETH 600
SI 840	SI 745
SI 840	IOE 437
SI 840	ECON 600
SI 840	BIOINF 551
SI 840	SI 888
SI 840	SI 860
SI 840	SI 761
SI 840	MO 615
SI 840	LING 441
SI 840	EECS 594
SI 840	EECS 692
SI 840	ELI 332
SI 840	SOC 510
SI 840	SURVMETH 632
SI 840	BIT 551
SI 840	ELI 321
