Source Course	Target Course
SI 507	SI 652
SI 507	SI 596
SI 507	SI 684
SI 507	SI 643
SI 507	SI 620
SI 507	ARCH 531
SI 507	SI 791
SI 507	SI 520
SI 507	SI 702
SI 507	MHS 663
SI 507	SI 551
SI 507	SI 646
SI 507	SI 544
SI 507	SI 690
SI 507	SI 647
SI 507	SI 624
SI 507	SI 655
SI 507	SI 666
SI 508	SI 688
SI 508	BIT 648
SI 508	PUBPOL 529
SI 508	SI 550
SI 508	MKT 619
SI 508	SI 510
SI 508	COMM 781
SI 508	SI 618
SI 508	SI 622
SI 508	SI 533
SI 508	BIT 646
SI 508	SI 686
SI 508	SI 681
SI 508	SI 683
SI 508	SI 601
SI 508	OMS 501
SI 508	BE 501
SI 508	MKT 620
SI 508	SI 687
SI 508	SI 646
SI 508	SI 575
SI 508	PUBPOL 585
SI 508	SI 679
SI 508	SI 562
SI 508	SI 625
SI 508	SI 684
SI 508	SI 532
SI 508	SI 583
SI 508	SI 543
SI 508	BIT 551
SI 508	COMM 810
SI 508	SI 791
SI 508	DESCI 502
SI 508	SI 539
SI 508	COMM 993
SI 508	ELI 320
SI 508	SI 840
SI 508	SI 690
SI 508	SI 627
SI 508	SI 519
SI 508	SI 572
SI 508	SI 658
SI 508	SI 652
SI 508	SI 663
SI 508	IOE 536
SI 508	SI 557
SI 508	SI 702
SI 508	SI 551
SI 508	SI 621
SI 508	SI 579
SI 508	SI 655
SI 508	SI 540
SI 511	SI 562
SI 511	SI 563
SI 511	SI 599
SI 511	MHS 663
SI 511	SI 665
SI 511	SI 666
SI 511	SI 680
SI 511	SI 681
SI 511	SI 683
SI 511	SI 689
SI 511	BIT 512
SI 511	SI 580
SI 511	SI 579
SI 511	SI 647
SI 511	SI 676
SI 511	SI 652
SI 511	SI 643
SI 511	IOE 536
SI 511	SI 540
SI 511	SI 530
SI 511	ARCH 531
SI 511	SI 791
SI 511	SI 520
SI 511	SI 622
SI 511	SI 557
SI 511	SI 626
SI 511	SI 654
SI 511	SI 551
SI 511	SI 690
SI 511	SI 539
SI 511	SI 624
SI 511	SI 633
SI 511	SI 519
SI 511	SI 658
SI 511	SI 596
SI 511	SI 629
SI 511	SI 682
SI 514	SI 719
SI 514	SI 661
SI 514	MO 512
SI 514	PUBPOL 754
SI 514	MO 700
SI 514	SI 658
SI 514	SI 551
SI 514	SI 544
SI 514	SI 645
SI 514	SI 614
SI 514	RACKHAM 998
SI 514	SI 681
SI 514	SI 543
SI 514	SI 696
SI 514	SI 539
SI 514	SI 575
SI 514	SI 688
SI 514	SI 532
SI 514	SI 533
SI 514	IOE 536
SI 514	SI 540
SI 514	SI 622
SI 514	SI 557
SI 514	SI 654
SI 514	SI 690
SI 514	SI 621
SI 514	SI 519
SI 514	SI 620
SI 514	SI 682
SI 514	SI 666
SI 514	SI 580
SI 514	SI 647
SI 515	SI 655
SI 515	SI 633
SI 515	SI 647
SI 515	HISTART 754
SI 515	MSP 601
SI 515	MSP 602
SI 515	SI 666
SI 515	SI 665
SI 515	SI 690
SI 515	HISTORY 451
SI 515	WOMENSTD 551
SI 515	ENGLISH 590
SI 515	HISTART 600
SI 515	HISTART 608
SI 515	RACKHAM 575
SI 515	POLSCI 499
SI 515	GEOG 406
SI 515	ANTHRCUL 502
SI 515	ENGLISH 463
SI 515	ENGLISH 648
SI 515	ARTDES 713
SI 515	ARTDES 716
SI 515	ARTDES 715
SI 515	ARTDES 652
SI 515	ARTDES 651
SI 515	HISTORY 498
SI 515	SOC 530
SI 515	ARTDES 751
SI 515	ARTDES 616
SI 515	ARTDES 615
SI 515	EDUC 580
SI 515	HISTORY 591
SI 515	PUBPOL 675
SI 515	AMCULT 498
SI 515	HISTORY 786
SI 515	ANTHRCUL 553
SI 515	ENGLISH 432
SI 515	UP 696
SI 515	ARTDES 609
SI 515	ARTDES 605
SI 515	MO 617
SI 515	ARTDES 551
SI 515	LHC 506
SI 515	ARTDES 456
SI 515	MO 622
SI 515	MSP 609
SI 515	SI 621
SI 515	SI 624
SI 515	SI 615
SI 515	SI 553
SI 515	SI 681
SI 515	SI 575
SI 515	SI 596
SI 515	SI 539
SI 515	BIT 750
SI 515	AMCULT 425
SI 515	ARTDES 611
SI 515	RACKHAM 570
SI 515	EDUC 500
SI 515	PHIL 423
SI 515	COMM 993
SI 515	HISTORY 796
SI 515	FIN 621
SI 515	BIT 678
SI 515	STRATEGY 669
SI 515	ENGLISH 434
SI 515	EDUC 525
SI 515	SI 586
SI 515	SI 540
SI 515	SI 682
SI 515	SI 620
SI 515	SI 699
SI 515	SI 631
SI 515	MO 603
SI 515	SI 654
SI 515	SI 696
SI 515	SI 648
SI 515	SI 579
SI 515	SI 792
SI 515	MO 512
SI 515	ARTDES 600
SI 515	SI 643
SI 515	SI 644
SI 515	BIT 551
SI 515	COMM 810
SI 515	SWC 993
SI 515	SI 641
SI 515	ARCH 531
SI 515	SI 791
SI 515	SI 519
SI 515	SI 622
SI 515	SI 557
SI 515	SI 626
SI 515	MO 700
SI 515	SI 702
SI 515	SI 541
SI 515	SI 658
SI 515	SI 623
SI 515	SI 688
SI 515	SI 593
SI 515	SI 645
SI 515	SI 649
SI 515	SI 678
SI 515	SI 605
SI 515	SI 543
SI 515	NRE 531
SI 515	SI 572
SI 515	SI 676
SI 515	SI 616
SI 515	SI 684
SI 515	MHS 663
SI 515	SI 551
SI 515	SI 646
SI 515	SI 625
SI 515	SI 689
SI 519	SI 575
SI 519	PUBPOL 534
SI 519	SI 540
SI 519	SI 532
SI 519	SI 668
SI 519	SI 617
SI 519	SI 620
SI 519	SI 692
SI 519	SI 629
SI 519	SI 581
SI 519	SI 596
SI 519	SI 539
SI 519	SI 633
SI 519	PUBPOL 715
SI 519	BA 523
SI 519	SI 510
SI 519	SI 586
SI 519	BIT 581
SI 519	SI 614
SI 519	PUBPOL 754
SI 519	SI 655
SI 519	SI 622
SI 519	SI 666
SI 519	BIT 646
SI 519	SI 605
SI 519	NRE 540
SI 519	NRE 531
SI 519	SI 541
SI 519	SI 632
SI 519	SI 654
SI 519	SI 544
SI 519	SI 643
SI 519	BIT 648
SI 519	COMM 993
SI 519	SI 645
SI 519	SI 670
SI 519	ASIANLAN 430
SI 519	SI 572
SI 519	SI 650
SI 519	SI 719
SI 519	SI 628
SI 519	RUSSIAN 521
SI 519	CSIB 676
SI 519	PUBPOL 758
SI 519	PUBPOL 759
SI 519	ENGLISH 881
SI 519	EECS 695
SI 519	RACKHAM 571
SI 519	EDUC 662
SI 519	PUBPOL 587
SI 519	PUBPOL 580
SI 519	EECS 588
SI 519	STATS 400
SI 519	PUBPOL 578
SI 519	FIN 551
SI 519	SI 661
SI 519	SAC 602
SI 519	GEOG 406
SI 519	ASIANLAN 429
SI 519	IOE 552
SI 519	SI 524
SI 519	SLAVIC 490
SI 519	CSIB 502
SI 519	ENGLISH 501
SI 519	MATH 423
SI 519	PUBPOL 513
SI 519	PUBPOL 686
SI 519	SI 732
SI 519	PUBPOL 671
SI 519	PUBPOL 677
SI 519	MKT 614
SI 519	LHC 582
SI 519	WOMENSTD 425
SI 519	PUBPOL 735
SI 519	NRE 441
SI 519	DUTCH 511
SI 519	ARCH 613
SI 519	UP 696
SI 519	ASIANLAN 499
SI 519	MHS 665
SI 519	CSIB 645
SI 519	ECON 502
SI 519	IOE 623
SI 519	SI 652
SI 519	SI 623
SI 519	SI 551
SI 519	SWC 993
SI 519	SI 627
SI 519	BIT 512
SI 519	SI 553
SI 519	SI 557
SI 519	SI 682
SI 519	MO 700
SI 519	SI 702
SI 519	SI 543
SI 519	SI 679
SI 519	SI 658
SI 519	MO 561
SI 519	MUSICOL 503
SI 519	SOC 522
SI 519	SWC 630
SI 519	PHIL 423
SI 519	AMCULT 520
SI 519	CMPLXSYS 501
SI 519	PUBPOL 558
SI 519	PUBPOL 555
SI 519	PUBPOL 529
SI 519	SI 550
SI 519	SI 583
SI 519	PUBPOL 636
SI 519	PUBPOL 638
SI 519	SI 649
SI 519	SI 724
SI 519	SI 663
SI 519	SI 644
SI 519	SI 637
SI 519	ARCH 531
SI 519	SI 680
SI 519	SI 686
SI 519	SI 639
SI 519	SI 601
SI 519	SI 699
SI 519	SI 631
SI 519	STRATEGY 673
SI 519	UP 507
SI 519	SI 767
SI 519	BE 501
SI 519	MHS 663
SI 519	SI 696
SI 519	SI 687
SI 519	SI 792
SI 519	SI 676
SI 519	PUBPOL 687
SI 519	SI 516
SI 519	SI 684
SI 519	BIT 513
SI 519	MKT 501
SI 519	SI 641
SI 519	SI 791
SI 519	SI 675
SI 519	SI 548
SI 519	SI 593
SI 519	ELI 320
SI 519	SI 549
SI 519	SI 683
SI 519	SI 689
SI 519	SI 616
SI 519	SI 688
SI 519	IOE 536
SI 519	SI 530
SI 519	SI 624
SI 520	MKT 620
SI 520	SI 681
SI 520	SI 543
SI 520	RCIDIV 351
SI 520	IOE 437
SI 520	POLSCI 662
SI 520	NRE 512
SI 520	ES 615
SI 520	PSYCH 442
SI 520	POLSCI 813
SI 520	SURVMETH 680
SI 520	CAAS 629
SI 520	PSYCH 751
SI 520	BIOSTAT 503
SI 520	PSYCH 682
SI 520	PSYCH 644
SI 520	ANTHRCUL 527
SI 520	MO 615
SI 520	MO 611
SI 520	PSYCH 788
SI 520	PSYCH 786
SI 520	DESCI 501
SI 520	PSYCH 785
SI 520	SI 840
SI 520	BIT 551
SI 520	SI 563
SI 520	SI 649
SI 520	BIT 512
SI 520	SI 631
SI 520	SI 625
SI 520	SI 690
SI 520	MO 700
SI 520	SI 684
SI 520	OMS 616
SI 520	IOE 836
SI 520	SI 532
SI 520	PSYCH 614
SI 520	PSYCH 685
SI 520	ES 715
SI 520	ELI 330
SI 520	MKT 619
SI 520	STRATEGY 669
SI 520	ELI 320
SI 520	SI 533
SI 520	SI 530
SI 520	BIT 646
SI 520	SI 627
SI 520	PSYCH 619
SI 520	PSYCH 613
SI 520	PSYCH 681
SI 520	ELI 338
SI 520	BE 501
SI 520	PSYCH 689
SI 520	MO 512
SI 520	PSYCH 988
SI 520	PUBPOL 687
SI 520	SI 516
SI 520	SI 562
SI 520	PSYCH 808
SI 520	SI 583
SI 520	EDUC 626
SI 520	BIT 513
SI 520	MKT 501
SI 520	PSYCH 995
SI 520	SI 540
SI 520	ELI 321
SI 520	SI 548
SI 520	SI 575
SI 520	SI 646
SI 520	BIT 648
SI 520	SI 701
SI 520	RACKHAM 998
SI 520	SI 680
SI 520	SI 686
SI 520	SI 605
SI 520	SI 683
SI 520	SI 648
SI 520	SI 687
SI 520	SI 670
SI 520	SI 572
SI 520	SI 663
SI 520	SI 791
SI 520	SI 702
SI 520	SI 654
SI 520	SI 551
SI 520	SI 792
SI 520	SI 579
SI 520	SI 596
SI 520	SI 643
SI 520	SI 580
SI 530	SI 625
SI 530	SI 681
SI 530	ACC 315
SI 530	ACC 312
SI 530	IOE 437
SI 530	NRE 512
SI 530	EECS 381
SI 530	HMP 669
SI 530	ES 623
SI 530	FIN 629
SI 530	HMP 617
SI 530	ELI 337
SI 530	PUBPOL 515
SI 530	ACC 272
SI 530	BIT 601
SI 530	MO 615
SI 530	SI 562
SI 530	ECON 434
SI 530	SI 652
SI 530	SI 680
SI 530	SI 646
SI 530	SI 683
SI 530	EDUC 626
SI 530	SI 563
SI 530	SI 539
SI 530	BIT 512
SI 530	SI 631
SI 530	SI 596
SI 530	SI 696
SI 530	SI 687
SI 530	SI 575
SI 530	MHS 663
SI 530	SI 679
SI 530	SI 689
SI 530	SI 643
SI 530	PUBPOL 650
SI 530	IOE 836
SI 530	SI 532
SI 530	ACC 630
SI 530	LING 517
SI 530	ES 715
SI 530	SI 645
SI 530	SI 647
SI 530	SI 622
SI 530	SI 533
SI 530	SI 663
SI 530	SI 601
SI 530	SI 620
SI 530	SI 627
SI 530	HMP 668
SI 530	SI 699
SI 530	PUBPOL 688
SI 530	EDUC 601
SI 530	ECON 500
SI 530	SI 580
SI 530	SI 666
SI 530	SI 655
SI 530	SI 624
SI 530	SI 658
SI 530	SI 688
SI 530	SI 690
SI 530	SI 692
SI 530	SI 633
SI 530	SI 583
SI 530	SI 621
SI 530	SI 629
SI 530	IOE 536
SI 530	BIT 551
SI 530	BIT 513
SI 530	SI 599
SI 530	SI 682
SI 530	SI 581
SI 530	SI 791
SI 530	ELI 321
SI 530	SI 579
SI 530	SI 632
SI 530	SI 544
SI 530	BIT 648
SI 530	SI 792
SI 530	SI 637
SI 530	SI 840
SI 530	BIT 646
SI 530	SI 686
SI 530	SI 605
SI 530	SI 553
SI 530	SI 668
SI 530	SI 670
SI 530	SI 572
SI 530	SI 616
SI 530	SI 684
SI 530	SI 665
SI 530	ARCH 531
SI 530	SI 702
SI 530	SI 551
SI 530	SI 615
SI 530	SI 543
SI 532	SI 579
SI 532	SI 575
SI 532	LAW 608
SI 532	EECS 695
SI 532	PUBPOL 585
SI 532	NRE 512
SI 532	POLSCI 594
SI 532	SI 524
SI 532	WOMENSTD 530
SI 532	DUTCH 511
SI 532	PUBPOL 754
SI 532	SI 540
SI 532	BIT 512
SI 532	SI 648
SI 532	SI 539
SI 532	SI 681
SI 532	SI 676
SI 532	OMS 616
SI 532	BIT 648
SI 532	ACABS 591
SI 532	SI 550
SI 532	SI 663
SI 532	SI 690
SI 532	BIT 646
SI 532	SI 680
SI 532	SI 686
SI 532	SI 791
SI 532	SI 621
SI 532	SI 605
SI 532	SI 627
SI 532	SI 699
SI 532	SI 631
SI 532	HISTART 754
SI 532	SI 687
SI 532	SI 646
SI 532	SI 544
SI 532	MO 512
SI 532	SI 516
SI 532	SI 658
SI 532	SI 596
SI 532	SI 684
SI 532	SI 643
SI 532	BIT 551
SI 532	BIT 513
SI 532	ARCH 531
SI 532	ELI 321
SI 532	DESCI 502
SI 532	SI 601
SI 532	SI 702
SI 532	MHS 663
SI 532	SI 701
SI 532	SI 649
SI 532	SI 647
SI 532	SI 792
SI 532	SI 682
SI 532	SI 666
SI 532	SI 840
SI 532	SI 543
SI 532	SI 689
SI 532	NRE 531
SI 532	SI 580
SI 532	SI 655
SI 532	SI 670
SI 532	SI 679
SI 532	SI 688
SI 532	SI 652
SI 532	SI 583
SI 532	SI 665
SI 532	SI 629
SI 532	SI 622
SI 532	SI 654
SI 532	SI 623
SI 532	SI 624
SI 532	SI 637
SI 532	SI 615
SI 532	SI 620
SI 532	SI 692
SI 532	SI 581
SI 533	LAW 608
SI 533	EECS 695
SI 533	EECS 588
SI 533	NRE 512
SI 533	POLSCI 594
SI 533	SI 524
SI 533	LHC 582
SI 533	WOMENSTD 530
SI 533	DUTCH 511
SI 533	SI 540
SI 533	SI 681
SI 533	SI 579
SI 533	SI 621
SI 533	SI 539
SI 533	BIT 512
SI 533	OMS 616
SI 533	BIT 648
SI 533	ACABS 591
SI 533	SI 550
SI 533	BIT 581
SI 533	SI 690
SI 533	ARCH 531
SI 533	BIT 646
SI 533	SI 680
SI 533	SI 686
SI 533	SI 791
SI 533	SI 627
SI 533	SI 699
SI 533	SI 631
SI 533	HISTART 754
SI 533	BE 501
SI 533	SI 687
SI 533	SI 544
SI 533	PUBPOL 585
SI 533	SI 679
SI 533	SI 676
SI 533	MO 512
SI 533	SI 516
SI 533	SI 658
SI 533	SI 688
SI 533	SI 596
SI 533	SI 684
SI 533	SI 583
SI 533	SI 663
SI 533	PUBPOL 754
SI 533	BIT 551
SI 533	BIT 513
SI 533	SI 647
SI 533	SI 689
SI 533	SI 682
SI 533	SI 675
SI 533	ELI 321
SI 533	DESCI 502
SI 533	SI 601
SI 533	SI 655
SI 533	MHS 663
SI 533	SI 580
SI 533	SI 646
SI 533	SI 643
SI 533	SI 701
SI 533	SI 649
SI 533	SI 792
SI 533	SI 666
SI 533	SI 840
SI 533	SI 617
SI 533	SI 639
SI 533	SI 605
SI 533	SI 543
SI 533	SI 683
SI 533	SI 622
SI 533	NRE 531
SI 533	SI 648
SI 533	SI 668
SI 533	SI 670
SI 533	SI 572
SI 533	SI 652
SI 533	SI 692
SI 533	SI 665
SI 533	SI 629
SI 533	SI 626
SI 533	SI 702
SI 533	SI 654
SI 533	SI 623
SI 533	SI 624
SI 533	SI 637
SI 533	SI 615
SI 533	SI 620
SI 533	SI 581
SI 539	SI 655
SI 539	SI 632
SI 539	SI 544
SI 539	SI 615
SI 539	ARCH 531
SI 539	SI 551
SI 539	SI 572
SI 539	SI 621
SI 539	SI 631
SI 539	SI 557
SI 539	SI 601
SI 539	SI 639
SI 539	MHS 663
SI 539	SI 654
SI 539	SI 623
SI 539	BIT 512
SI 539	OMS 501
SI 539	EDUC 601
SI 539	SI 678
SI 539	SI 696
SI 539	SI 625
SI 539	SI 675
SI 539	SI 548
SI 539	DESCI 502
SI 539	SI 670
SI 539	SI 792
SI 539	MO 700
SI 539	MSP 601
SI 539	MSP 602
SI 539	NRE 531
SI 539	ARTDES 611
SI 539	MUSICOL 503
SI 539	SI 653
SI 539	EDUC 500
SI 539	PHIL 605
SI 539	ASIAN 500
SI 539	ENGLISH 549
SI 539	ELI 330
SI 539	ENGLISH 473
SI 539	ENGLISH 434
SI 539	ENGLISH 993
SI 539	MO 501
SI 539	ELI 320
SI 539	SI 648
SI 539	SI 644
SI 539	EDUC 626
SI 539	PUBPOL 754
SI 539	BIT 513
SI 539	SI 624
SI 539	MSP 609
SI 539	BIT 646
SI 539	RACKHAM 998
SI 539	SI 791
SI 539	ELI 321
SI 539	SI 684
SI 539	SI 626
SI 539	SI 637
SI 539	PUBPOL 688
SI 539	SI 737
SI 539	HISTART 489
SI 539	UP 507
SI 539	SI 702
SI 539	COMM 993
SI 539	SI 593
SI 539	SI 645
SI 539	SI 618
SI 539	PUBPOL 653
SI 539	HISTORY 456
SI 539	HISTART 463
SI 539	PHIL 420
SI 539	ENGLISH 590
SI 539	RCIDIV 351
SI 539	PSYCH 703
SI 539	ASIANLAN 325
SI 539	ASIANLAN 326
SI 539	LAW 608
SI 539	ENGLISH 881
SI 539	BA 615
SI 539	OMS 548
SI 539	UP 406
SI 539	ASIAN 532
SI 539	BIT 645
SI 539	ASIAN 455
SI 539	STATS 405
SI 539	FIN 551
SI 539	ANTHRCUL 658
SI 539	SAC 602
SI 539	POLSCI 662
SI 539	NRE 512
SI 539	GEOG 406
SI 539	PSYCH 442
SI 539	HISTORY 600
SI 539	ASIANLAN 425
SI 539	POLSCI 594
SI 539	CHIN 588
SI 539	POLSCI 813
SI 539	EDUC 758
SI 539	SAC 455
SI 539	SURVMETH 680
SI 539	SI 630
SI 539	HISTORY 641
SI 539	ARTDES 713
SI 539	ARTDES 711
SI 539	ARTDES 710
SI 539	ARTDES 716
SI 539	ARTDES 715
SI 539	ARTDES 652
SI 539	ARTDES 651
SI 539	CAAS 629
SI 539	SI 524
SI 539	LING 510
SI 539	EDUC 793
SI 539	EDUC 791
SI 539	EDUC 790
SI 539	PSYCH 751
SI 539	EDUC 728
SI 539	SI 679
SI 539	UP 503
SI 539	ELI 420
SI 539	BIOSTAT 503
SI 539	PSYCH 682
SI 539	ARTDES 751
SI 539	ARTDES 616
SI 539	ARTDES 615
SI 539	ARTDES 610
SI 539	ENGLISH 501
SI 539	CHIN 610
SI 539	MO 512
SI 539	MECHENG 599
SI 539	ANTHRCUL 458
SI 539	PUBPOL 687
SI 539	EDUC 600
SI 539	PUBPOL 671
SI 539	PUBPOL 677
SI 539	PSYCH 644
SI 539	EDUC 860
SI 539	COMORG 654
SI 539	COMORG 650
SI 539	SI 516
SI 539	WOMENSTD 530
SI 539	EDUC 526
SI 539	ANTHRCUL 527
SI 539	ARTDES 609
SI 539	ARTDES 605
SI 539	ARTDES 600
SI 539	ASIAN 625
SI 539	ASIANLAN 126
SI 539	PSYCH 788
SI 539	PSYCH 786
SI 539	HISTART 461
SI 539	ARTDES 551
SI 539	ASIANLAN 407
SI 539	ASIAN 535
SI 539	ASIAN 536
SI 539	DESCI 501
SI 539	EDUC 703
SI 539	SI 616
SI 539	CSIB 645
SI 539	SOC 711
SI 539	ECON 502
SI 539	CAAS 469
SI 539	ARTDES 456
SI 539	MHS 661
SI 539	MHS 662
SI 539	ASIANLAN 125
SI 539	CHIN 799
SI 539	SURVMETH 630
SI 539	PSYCH 785
SI 539	SI 583
SI 539	SI 663
SI 539	SI 646
SI 539	SI 605
SI 539	BIT 551
SI 539	SI 563
SI 539	SI 599
SI 539	COMM 810
SI 539	SWC 993
SI 539	SI 553
SI 539	PUBPOL 650
SI 539	OMS 616
SI 539	BIT 750
SI 539	AMCULT 425
SI 539	RACKHAM 570
SI 539	BE 550
SI 539	BIT 648
SI 539	MO 561
SI 539	IOE 434
SI 539	HISTORY 698
SI 539	PHIL 423
SI 539	HISTORY 796
SI 539	LING 517
SI 539	BIT 678
SI 539	CMPLXSYS 501
SI 539	PSYCH 614
SI 539	MUSMETH 406
SI 539	PSYCH 685
SI 539	MKT 619
SI 539	HB 605
SI 539	SI 510
SI 539	EDUC 525
SI 539	SI 760
SI 539	AMCULT 993
SI 539	SI 542
SI 539	ENGLISH 407
SI 539	ASIAN 699
SI 539	SI 614
SI 539	SI 549
SI 539	NRE 540
SI 539	HMP 668
SI 539	ARTDES 700
SI 539	PUBPOL 534
SI 539	PSYCH 619
SI 539	PSYCH 613
SI 539	PSYCH 681
SI 539	ELI 338
SI 539	MO 603
SI 539	EDUC 737
SI 539	SI 767
SI 539	BE 501
SI 539	MKT 620
SI 539	SI 668
SI 539	SI 719
SI 539	RACKHAM 575
SI 539	SI 661
SI 539	SI 676
SI 539	PSYCH 689
SI 539	PSYCH 988
SI 539	SI 562
SI 539	PSYCH 808
SI 539	SI 652
SI 539	EDUC 898
SI 539	MKT 501
SI 539	PSYCH 995
SI 539	SI 541
SI 539	SI 701
SI 539	SI 840
SI 539	EDUC 606
SI 539	EDCURINS 575
SI 539	SI 680
SI 539	SI 686
SI 539	SI 617
SI 539	SI 683
SI 539	SI 627
SI 539	SI 687
SI 540	SI 647
SI 540	SI 621
SI 540	BIT 512
SI 540	SI 631
SI 540	SI 633
SI 540	SI 686
SI 540	SI 702
SI 540	SI 596
SI 540	SI 605
SI 540	HISTART 489
SI 540	SI 688
SI 540	MHS 663
SI 540	SI 675
SI 540	SI 644
SI 540	SI 689
SI 540	SI 668
SI 540	SI 579
SI 540	SI 680
SI 540	SI 617
SI 540	SI 639
SI 540	SI 637
SI 540	SI 654
SI 540	SI 627
SI 540	OMS 616
SI 540	AMCULT 425
SI 540	BE 550
SI 540	POLSCI 596
SI 540	SI 593
SI 540	ES 715
SI 540	BIT 581
SI 540	ELI 320
SI 540	SI 682
SI 540	SI 792
SI 540	SI 543
SI 540	SI 615
SI 540	SI 670
SI 540	SI 665
SI 540	SI 551
SI 540	SI 544
SI 540	BIT 646
SI 540	SI 572
SI 540	ELI 321
SI 540	SI 683
SI 540	SI 583
SI 540	HMP 668
SI 540	SI 699
SI 540	PUBPOL 534
SI 540	ECON 500
SI 540	SI 541
SI 540	SI 623
SI 540	SI 666
SI 540	BIT 648
SI 540	SI 678
SI 540	PUBPOL 653
SI 540	NRE 605
SI 540	ASIANLAN 430
SI 540	HISTART 463
SI 540	ACC 315
SI 540	ACC 312
SI 540	PSYCH 703
SI 540	RUSSIAN 521
SI 540	CSIB 676
SI 540	LAW 608
SI 540	PSYCH 418
SI 540	PUBPOL 758
SI 540	PUBPOL 759
SI 540	BA 615
SI 540	OMS 548
SI 540	RACKHAM 571
SI 540	UP 406
SI 540	EECS 588
SI 540	POLSCI 695
SI 540	FIN 551
SI 540	NRE 512
SI 540	BA 525
SI 540	ES 615
SI 540	EECS 381
SI 540	ECON 600
SI 540	PUBPOL 667
SI 540	ASIANLAN 429
SI 540	MKT 601
SI 540	HMP 669
SI 540	MKT 603
SI 540	MKT 608
SI 540	SAC 455
SI 540	SI 635
SI 540	BA 518
SI 540	COMM 698
SI 540	ES 623
SI 540	SI 524
SI 540	HISTART 531
SI 540	SLAVIC 490
SI 540	FIN 629
SI 540	CSIB 502
SI 540	UP 503
SI 540	HMP 617
SI 540	SOC 530
SI 540	COMM 799
SI 540	CAAS 408
SI 540	ELI 334
SI 540	ELI 337
SI 540	ELI 336
SI 540	PUBPOL 770
SI 540	MATH 423
SI 540	MECHENG 599
SI 540	ANTHRCUL 458
SI 540	PUBPOL 515
SI 540	SI 751
SI 540	SI 732
SI 540	PUBPOL 677
SI 540	ECON 405
SI 540	LHC 582
SI 540	SI 601
SI 540	EDUC 462
SI 540	COMORG 654
SI 540	WOMENSTD 530
SI 540	FIN 615
SI 540	ACC 272
SI 540	BIT 601
SI 540	ASIANLAN 499
SI 540	MO 611
SI 540	LING 441
SI 540	SI 562
SI 540	ECON 434
SI 540	ECON 502
SI 540	SI 684
SI 540	RACKHAM 998
SI 540	SI 563
SI 540	SI 599
SI 540	SWC 993
SI 540	SI 649
SI 540	SI 658
SI 540	SI 620
SI 540	DESCI 502
SI 540	SI 626
SI 540	SI 643
SI 540	PUBPOL 650
SI 540	STATS 503
SI 540	MO 561
SI 540	IOE 434
SI 540	SOC 522
SI 540	SI 653
SI 540	EDUC 500
SI 540	PUBPOL 715
SI 540	SWC 630
SI 540	ACC 630
SI 540	SI 701
SI 540	COMM 993
SI 540	HISTORY 796
SI 540	ACC 564
SI 540	PUBPOL 558
SI 540	PUBPOL 555
SI 540	PUBPOL 529
SI 540	BA 523
SI 540	ENGLISH 473
SI 540	PUBPOL 678
SI 540	STRATEGY 669
SI 540	SI 510
