state	% Obese Adults 2004	Percentage of Obesity Adults 2002-2004 (3-Yr. Avg)	Percentage Point Change Obesity Adults 2001-2003 to 2002-2004	Adult (3-Yr. Avgs) Obesity Ranking 2002-2004 (3-Yr. Avg)	Percentage of Obese & Overweight Adults 2004****	Percentage of Overweight & Obesity Adults 2002-2004 (3-Yr. Avg)	Adult Overweight & Obese Ranking 2002-2004 (3-Yr. Avg)	% Diabetes Adults 2004	Percentage of Diabetes Adults 2002-2004 (3-Yr. Avg)	Adult Diabetes Ranking 2002-2004 (3-Yr. Avg)	Rates of Hypertension Adults 2003*	Percentage of Hypertension Adults 1999-2003 (3-Yr. Avg)	Adult Hypertension Ranking 1999-2003 (3-Yr. Avg)	Percentage of Overweight High School Students	High School Overweight Ranking 2003	Rates of Overweight Low-Income Children Ages 2-5 2003	Overweight Low-Income Children Ages 2-5 Ranking 2003	Medical Costs Related to Obesity Per Person 2003	Ranking for Medical Costs Related to Obesity Per Person 2003
Kansas	23.2	22.9	0.5	22	60.6	60.4	17	6.5	6.3	34	23.3	22.9	40	N/A	N/A	12.6	24	$241	35
Kentucky	25.8	25.3	0.4	6	63.4	63	4	7.5	7.7	13	29.8	29.1	6	14.6	3	17.2	3	$282	15
Louisiana	27	25.8	1	4	62.6	61.6	10	8.3	8	7	29	27.5	9	N/A	N/A	13.3	16	$305	7
Maine	23.4	21.3	1.3	32	60.9	59.3	28	7.5	7.4	17	26	25.9	20	12.8	10	16	5	$273	17
Maryland	23.9	21.7	1.1	29	58.5	58.5	33	7.2	7	24	25	25.3	24	N/A	N/A	N/A	N/A	$278	16
Massachusetts	18.4	17.8	0.6	49	54.4	54	48	5.6	5.9	42	23.1	22.8	42	9.9	23	N/A	N/A	$283	14
Michigan	25.4	25.3	0.1	6	60.9	61.6	10	7.7	7.8	12	26.8	26.4	14	12.4	12	12.9	23	$291	10
Minnesota	22.6	22.6	0.9	25	60.3	60	22	5	5.1	48	22.2	22.2	45	N/A	N/A	13.2	19	$258	25
Mississippi	29.5	28.1	1	1	65.5	64.5	1	9.6	9.7	2	33.4	32.7	1	15.7	1	N/A	N/A	$263	23
Missouri	24.9	23.9	0.6	16	61.7	60.4	17	7.3	7.2	22	27.5	26.2	16	12.1	14	13.3	16	$287	12
Montana	19.7	19.1	0.3	45	57	56.8	42	6	5.7	45	21.3	23.8	33	8.1	28	11	33	$191	45
Nebraska	23.2	23.4	0.8	20	61.7	60.9	14	6.3	6.2	37	23.5	22.7	44	10.4	21	13.4	14	$261	24
Nevada	21.1	21.3	0.5	32	59.9	59.1	29	6.4	6.3	34	23.6	26.1	19	N/A	N/A	13.6	11	$150	50
New Hampshire	21.6	19.9	0.7	43	57.6	57	39	6.5	6.1	39	22.5	22.9	39	9.9	23	15.6	6	$235	36
New Jersey	21.9	20.3	0.8	40	59.7	57.8	37	6.8	6.7	26	25.6	25.1	25	N/A	N/A	17.9	1	$271	20
New Mexico	21.5	20.5	0.6	39	57.8	56.9	40	6.5	6.1	39	21.1	20.7	50	N/A	N/A	N/A	N/A	$173	47
New York	22.1	21.2	0.6	34	57.7	57.1	38	7.5	7.4	17	25.3	24.7	28	12.9	9	16.8	4	$317	5
North Carolina	24.2	23.9	0.4	16	61.3	60.4	17	8.4	7.9	11	28.6	26.6	13	12.5	11	N/A	N/A	$254	28
North Dakota	24.6	23.9	1.4	16	62.8	62.4	5	5.9	6.1	39	24	24.7	28	9.3	27	11.4	31	$330	3
Ohio	25.3	24.4	1	13	61	60.2	20	7.8	8.1	6	26.3	26.8	12	13.9	4	11.6	30	$289	11
Oklahoma	24.9	24.1	0.8	14	60.9	60	22	8	7.3	20	28	25.8	21	11.1	16	N/A	N/A	$243	33
Oregon	21.2	21	0	36	59	58.1	36	6.6	6.4	32	24	23.7	34	N/A	N/A	14.7	7	$219	41
Pennsylvania	24.3	24	0.7	15	61	60.2	20	7.8	8	7	26.5	26.2	17	N/A	N/A	12.4	25	$335	2
Rhode Island	19	18.6	0.4	48	55.9	56.3	44	7.2	6.5	30	28.9	25.7	22	9.8	25	N/A	N/A	$283	13
South Carolina	25.1	25.1	0.9	10	61.2	60.9	14	8.3	8.7	4	28.8	27.6	8	N/A	N/A	12.4	25	$256	26
South Dakota	23.8	22.6	0.9	26	61.7	60.8	16	6.6	6.7	26	24.8	24.2	32	9.4	26	13.6	11	$255	27
Tennessee	27.2	25.6	1.3	5	64.1	61.9	7	8.4	8.8	3	30.3	29.4	5	15.2	2	12	29	$315	6
Texas	25.8	25.3	0.4	6	62.9	62.4	5	7.7	7.6	14	24.6	24.8	27	13.9	4	N/A	N/A	$241	34
Utah	20.4	19.6	0.4	44	56.4	54.9	46	5.1	5	49	18.8	20.8	49	7	31	8.6	37	$167	48
Vermont	18.7	19.1	0.4	45	54.2	54.7	47	5.3	5.7	45	23.1	21.8	46	10.8	19	13.1	21	$228	39
Virginia	23.1	22.9	0.7	22	59.9	58.8	30	7	6.8	25	24.4	24.6	30	N/A	N/A	N/A	N/A	$222	40
Washington	22.2	21.7	1	29	58.3	58.6	32	6.4	6.3	34	23.8	23.4	36	N/A	N/A	N/A	N/A	$217	42
West Virginia	27.6	27.6	0.8	3	64	63.1	3	10.9	10.3	1	33.6	32.4	2	13.7	6	13.2	19	$325	4
Wisconsin	23.2	21.9	0.3	28	60.5	59.5	26	5.7	5.6	47	24.3	24.5	31	10.4	21	13	22	$272	19
Wyoming	20.8	20.1	0.4	42	57.7	56.9	40	6	5.8	44	23.8	22.7	43	7.2	30	9.5	35	$174	46
